,Guiding questions  ,Phase 2 - Stress ,Phase 3 – Crisis ,Phase 4 – Emergency ,Phase 5 – Catastrophe / Famine ,,Data sources,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Households have minimally adequate food consumption but are unable to afford some essential non-food expenditures without engaging in stress-coping strategies. ,Households either: ,Households either: ,Households have an extreme lack of food and/or other basic needs even after full employment ,Analysis ,,,,,,,,,,,,,,,,,,,,,,,,
,,,• Have food consumption gaps that are reflected by high or above-usual acute malnutrition; or ,• Have large food consumption gaps which are reflected in very high acute malnutrition and excess mortality; or ,"of coping strategies. Starvation, death, destitution and extremely ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,• Are marginally able to meet minimum food needs but only by depleting essential livelihood assets or through crisis-coping ,• Are able to mitigate large food consumption gaps but only by employing emergency livelihood strategies and asset liquidation. ,"critical acute malnutrition levels are evident. For Famine Classification, an area needs to have extreme critical levels of acute malnutrition and mortality. ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,strategies ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Moderate concern ,High concern ,Extreme concern ,,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,
Availability ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available stock vs. caloric need for the population living in the area ,"Compare available stocks with the caloric needs of the population. If possible, take into account the age and sex distribution of the population. ",No food gap ,"Food gap on average (below avg. 2,100 kcal pp/day) ",Large food gap on average ,Extreme food gap on average  ,Bhamo and Loije township area cannot have access to farm land compared to other township. The other township area still have limited access to production land. The HH in EAO controlled area and currently not facing armed conflct may be able to grow crops. There are no statistics on production or available stocks. There is a likely caloric deficit in the area corresponding to P3-4.  ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food stock for staple commodities ,How have food stocks changed for staple commodities and what period are available stocks able to cover? ,Stocks cover the needs for several months ,Stocks cover the needs for more than a month ,Stocks cover needs for more than two weeks and less than a month  ,Stocks cover needs for less than two weeks and some main staples are already depleted ,"Stock availability at household level is low as this is the lean season. Only 37% of households have access to agricultural land, rest are dependent on purchases and their stocks are low (if there are any). Category E (stocks available for more than two weeks but less than a month) - no/very few big markets with large stocks, households have few stocks.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
